SchoolYear,leaType,County_Name,lea,DistrictCode,gradeLevel,teacherTotal,studentTotal,population
2012,Charters,Kent,Academy of Dover Charter School,85,All Levels,18,256,31048
2012,Charters,Kent,Campus Community School,74,All Levels,39,582,31048
2012,Charters,Kent,Positive Outcomes Charter School,71,All Levels,14,125,31048
2012,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,42,688,31048
2012,Charters,New Castle,ASPIRA Delaware,69,All Levels,17,304,98145
2012,Charters,New Castle,Charter School of New Castle,80,All Levels,41,751,98145
2012,Charters,New Castle,East Side Charter School,72,All Levels,28,401,98145
2012,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,46,729,98145
2012,Charters,New Castle,Gateway Charter School,92,All Levels,15,183,98145
2012,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,19,260,98145
2012,Charters,New Castle,MOT Charter School,88,All Levels,38,677,98145
2012,Charters,New Castle,Newark Charter School,89,All Levels,74,1344,98145
2012,Charters,New Castle,Odyssey Charter School,86,All Levels,40,500,98145
2012,Charters,Sussex,Sussex Academy,77,All Levels,15,335,31616
2012,Districts,Kent,Caesar Rodney School District,10,All Levels,499,7538,31048
2012,Districts,Kent,Capital School District,13,All Levels,459,6216,31048
2012,Districts,Kent,Lake Forest School District,15,All Levels,261,3790,31048
2012,Districts,Kent,Milford School District,18,All Levels,267,4093,31048
2012,Districts,Kent,POLYTECH School District,39,All Levels,86,1180,31048
2012,Districts,Kent,Smyrna School District,24,All Levels,314,5032,31048
2012,Districts,New Castle,Appoquinimink School District,29,All Levels,588,9340,98145
2012,Districts,New Castle,Brandywine School District,31,All Levels,776,10644,98145
2012,Districts,New Castle,Christina School District,33,All Levels,1236,16479,98145
2012,Districts,New Castle,Colonial School District,34,All Levels,633,9719,98145
2012,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,353,4759,98145
2012,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1114,17747,98145
2012,Districts,Sussex,Cape Henlopen School District,17,All Levels,352,4795,31616
2012,Districts,Sussex,Delmar School District,37,All Levels,77,1305,31616
2012,Districts,Sussex,Indian River School District,36,All Levels,595,8670,31616
2012,Districts,Sussex,Laurel School District,16,All Levels,144,2145,31616
2012,Districts,Sussex,Seaford School District,23,All Levels,228,3394,31616
2012,Districts,Sussex,Sussex Technical School District,40,All Levels,86,1309,31616
2012,Districts,Sussex,Woodbridge School District,35,All Levels,145,2237,31616
2013,Charters,Kent,Academy of Dover Charter School,85,All Levels,19,282,31424
2013,Charters,Kent,Campus Community School,74,All Levels,29,429,31424
2013,Charters,Kent,Positive Outcomes Charter School,71,All Levels,13,123,31424
2013,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,38,695,31424
2013,Charters,New Castle,ASPIRA Delaware,69,All Levels,20,338,97723
2013,Charters,New Castle,Charter School of New Castle,80,All Levels,39,759,97723
2013,Charters,New Castle,East Side Charter School,72,All Levels,32,392,97723
2013,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,44,743,97723
2013,Charters,New Castle,Gateway Charter School,92,All Levels,18,225,97723
2013,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,19,263,97723
2013,Charters,New Castle,MOT Charter School,88,All Levels,39,680,97723
2013,Charters,New Castle,Newark Charter School,89,All Levels,77,1347,97723
2013,Charters,New Castle,Odyssey Charter School,86,All Levels,51,591,97723
2013,Charters,Sussex,Sussex Academy,77,All Levels,16,340,31963
2013,Districts,Kent,Caesar Rodney School District,10,All Levels,511,7575,31424
2013,Districts,Kent,Capital School District,13,All Levels,465,6283,31424
2013,Districts,Kent,Lake Forest School District,15,All Levels,258,3783,31424
2013,Districts,Kent,Milford School District,18,All Levels,256,4128,31424
2013,Districts,Kent,POLYTECH School District,39,All Levels,84,1183,31424
2013,Districts,Kent,Smyrna School District,24,All Levels,318,5090,31424
2013,Districts,New Castle,Appoquinimink School District,29,All Levels,577,9533,97723
2013,Districts,New Castle,Brandywine School District,31,All Levels,774,10692,97723
2013,Districts,New Castle,Christina School District,33,All Levels,1207,16425,97723
2013,Districts,New Castle,Colonial School District,34,All Levels,625,9795,97723
2013,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,347,4487,97723
2013,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1131,17925,97723
2013,Districts,Sussex,Cape Henlopen School District,17,All Levels,374,4862,31963
2013,Districts,Sussex,Delmar School District,37,All Levels,76,1331,31963
2013,Districts,Sussex,Indian River School District,36,All Levels,618,8914,31963
2013,Districts,Sussex,Laurel School District,16,All Levels,131,2046,31963
2013,Districts,Sussex,Seaford School District,23,All Levels,227,3390,31963
2013,Districts,Sussex,Sussex Technical School District,40,All Levels,92,1409,31963
2013,Districts,Sussex,Woodbridge School District,35,All Levels,144,2237,31963
2014,Charters,Kent,Academy of Dover Charter School,85,All Levels,20,308,31807
2014,Charters,Kent,Campus Community School,74,All Levels,27,411,31807
2014,Charters,Kent,Positive Outcomes Charter School,71,All Levels,13,120,31807
2014,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,39,697,31807
2014,Charters,New Castle,ASPIRA Delaware,69,All Levels,27,439,97714
2014,Charters,New Castle,Charter School of New Castle,80,All Levels,45,825,97714
2014,Charters,New Castle,East Side Charter School,72,All Levels,33,403,97714
2014,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,47,748,97714
2014,Charters,New Castle,Gateway Charter School,92,All Levels,20,208,97714
2014,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,20,298,97714
2014,Charters,New Castle,MOT Charter School,88,All Levels,37,679,97714
2014,Charters,New Castle,Newark Charter School,89,All Levels,100,1760,97714
2014,Charters,New Castle,Odyssey Charter School,86,All Levels,65,702,97714
2014,Charters,Sussex,Sussex Academy,77,All Levels,21,412,32344
2014,Districts,Kent,Caesar Rodney School District,10,All Levels,503,7677,31807
2014,Districts,Kent,Capital School District,13,All Levels,477,6439,31807
2014,Districts,Kent,Lake Forest School District,15,All Levels,250,3687,31807
2014,Districts,Kent,Milford School District,18,All Levels,254,4138,31807
2014,Districts,Kent,POLYTECH School District,39,All Levels,86,1206,31807
2014,Districts,Kent,Smyrna School District,24,All Levels,313,5162,31807
2014,Districts,New Castle,Appoquinimink School District,29,All Levels,590,9656,97714
2014,Districts,New Castle,Brandywine School District,31,All Levels,751,10645,97714
2014,Districts,New Castle,Christina School District,33,All Levels,1199,16350,97714
2014,Districts,New Castle,Colonial School District,34,All Levels,634,9835,97714
2014,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,354,4548,97714
2014,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1124,18130,97714
2014,Districts,Sussex,Cape Henlopen School District,17,All Levels,376,4974,32344
2014,Districts,Sussex,Delmar School District,37,All Levels,78,1344,32344
2014,Districts,Sussex,Indian River School District,36,All Levels,649,9228,32344
2014,Districts,Sussex,Laurel School District,16,All Levels,123,2109,32344
2014,Districts,Sussex,Seaford School District,23,All Levels,232,3423,32344
2014,Districts,Sussex,Sussex Technical School District,40,All Levels,94,1491,32344
2014,Districts,Sussex,Woodbridge School District,35,All Levels,145,2291,32344
2015,Charters,Kent,Academy of Dover Charter School,85,All Levels,20,290,32178
2015,Charters,Kent,Campus Community School,74,All Levels,27,410,32178
2015,Charters,Kent,Early College High School at Del State,9604,All Levels,4,129,32178
2015,Charters,Kent,Positive Outcomes Charter School,71,All Levels,14,126,32178
2015,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,40,688,32178
2015,Charters,New Castle,ASPIRA Delaware,69,All Levels,35,541,97592
2015,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,14,221,97592
2015,Charters,New Castle,Charter School of New Castle,80,All Levels,53,811,97592
2015,Charters,New Castle,East Side Charter School,72,All Levels,35,418,97592
2015,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,47,745,97592
2015,Charters,New Castle,First State Montessori Academy,9606,All Levels,13,280,97592
2015,Charters,New Castle,Gateway Charter School,92,All Levels,19,212,97592
2015,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,28,464,97592
2015,Charters,New Castle,MOT Charter School,88,All Levels,47,869,97592
2015,Charters,New Castle,Newark Charter School,89,All Levels,111,1948,97592
2015,Charters,New Castle,Odyssey Charter School,86,All Levels,79,933,97592
2015,Charters,Sussex,Sussex Academy,77,All Levels,26,498,32826
2015,Districts,Kent,Caesar Rodney School District,10,All Levels,507,7641,32178
2015,Districts,Kent,Capital School District,13,All Levels,477,6590,32178
2015,Districts,Kent,Lake Forest School District,15,All Levels,256,3748,32178
2015,Districts,Kent,Milford School District,18,All Levels,258,4140,32178
2015,Districts,Kent,POLYTECH School District,39,All Levels,87,1192,32178
2015,Districts,Kent,Smyrna School District,24,All Levels,328,5203,32178
2015,Districts,New Castle,Appoquinimink School District,29,All Levels,610,9759,97592
2015,Districts,New Castle,Brandywine School District,31,All Levels,738,10591,97592
2015,Districts,New Castle,Christina School District,33,All Levels,1168,15901,97592
2015,Districts,New Castle,Colonial School District,34,All Levels,630,9683,97592
2015,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,353,4629,97592
2015,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1122,17849,97592
2015,Districts,Sussex,Cape Henlopen School District,17,All Levels,388,5018,32826
2015,Districts,Sussex,Delmar School District,37,All Levels,78,1367,32826
2015,Districts,Sussex,Indian River School District,36,All Levels,688,9651,32826
2015,Districts,Sussex,Laurel School District,16,All Levels,125,2146,32826
2015,Districts,Sussex,Seaford School District,23,All Levels,250,3450,32826
2015,Districts,Sussex,Sussex Technical School District,40,All Levels,93,1545,32826
2015,Districts,Sussex,Woodbridge School District,35,All Levels,150,2363,32826
2016,Charters,Kent,Academy of Dover Charter School,85,All Levels,21,284,32215
2016,Charters,Kent,Campus Community School,74,All Levels,24,417,32215
2016,Charters,Kent,Early College High School at Del State,9604,All Levels,9,209,32215
2016,Charters,Kent,First State Military Academy,9607,All Levels,10,202,32215
2016,Charters,Kent,Positive Outcomes Charter School,71,All Levels,14,126,32215
2016,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,40,690,32215
2016,Charters,New Castle,ASPIRA Delaware,69,All Levels,45,639,97138
2016,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,19,320,97138
2016,Charters,New Castle,Charter School of New Castle,80,All Levels,45,792,97138
2016,Charters,New Castle,East Side Charter School,72,All Levels,37,443,97138
2016,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,45,758,97138
2016,Charters,New Castle,First State Montessori Academy,9606,All Levels,17,325,97138
2016,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,13,234,97138
2016,Charters,New Castle,Gateway Charter School,92,All Levels,20,212,97138
2016,Charters,New Castle,Great Oaks Charter School,9611,All Levels,7,212,97138
2016,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,39,644,97138
2016,Charters,New Castle,MOT Charter School,88,All Levels,55,1013,97138
2016,Charters,New Castle,Newark Charter School,89,All Levels,128,2140,97138
2016,Charters,New Castle,Odyssey Charter School,86,All Levels,85,1161,97138
